gender ldlsiu02
F 3.65443182
F 2.05328393
F 5.37844038
M 3.505814314
F 4.68539238
M 3.481868029
M 3.943132877
F 3.519959688
F 3.206640005
M 3.777059793
M 3.966691256
M 4.614717007
F 3.977604151
F 2.984244108
M 3.493918657
F 3.597177744
F 4.079311371
F 7.339067936
F 4.180088043
M 4.105378628
F 2.890501499
F 3.172323704
F 4.392708778
M 2.657787323
F 4.070363998
F 1.872574329
F 2.146379948
M 3.048557758
F 3.811505318
M 2.952022552
M 2.923679829
F 5.593362808
F 1.644049525
M 3.841218472
F 2.942867994
M 3.191460133
F 4.175872803
M 4.232170105
M 3.819392681
M 2.69978404
M 4.015334129
M 2.942867994
M 2.110098362
F 2.577491999
F 5.1725173
F 4.099637508
M 4.627931595
M 4.014195919
F 3.767827749
F 2.824222326
F 1.42046392
F 1.892951965
M 3.30027914
M 3.821694136
M 5.022012234
M 5.95121336
F 1.671486974
F 2.229261398
M 3.258696079
M 6.004692078
M 3.254299879
F 4.323352337
M 4.9344244
F 1.025529981
F 2.249819994
M 4.907400608
F 4.432404041
M 3.072168112
F 3.894852161
F 3.18742609
F 2.841677904
M 4.923744202
F 4.422060013
M 4.037185669
M 3.034205437
M 5.209703922
M 3.84734726
M 2.708550453
F 3.920376062
M 3.130352974
M 6.501540184
F 3.008707523
M 5.717516899
M 3.715719938
F 2.156723976
F 4.952009201
F 3.061565399
M 4.179131031
F 4.934036255
M 2.467044115
F 2.208444118
M 2.079118252
M 2.154577732
M 5.109134197
F 5.520205021
M 3.144576073
F 3.33379364
F 2.911835909
M 4.060925007
F 2.808344364
F 4.110550404
M 4.372020721
F 2.648193359
M 2.613928795
M 2.248242617
F 4.287536144
F 2.990527868
F 5.020253658
M 3.221742153
F 2.718868732
M 3.249515772
F 3.470386028
M 3.933357716
F 3.799635649
F 5.241485596
M 3.015612125
F 3.075555563
F 3.04529953
F 4.205146313
M 4.344480038
F 2.885976076
F 2.32349515
M 0.692608356
F 2.637720108
F 3.801419973
F 1.928509474
M 3.328983545
F 1.908468008
M 3.341835976
F 4.096741199
M 4.013627052
M 2.978839159
F 4.696537971
M 4.654386044
F 3.651432037
M 3.222156048
M 3.923401594
M 5.426332951
F 3.555232763
M 4.575461388
F 2.806792736
F 3.535294771
F 4.018592358
F 3.709228992
F 3.071340561
F 3.171729088
M 3.087683916
F 3.926996231
F 1.576037645
F 4.18694067
M 2.455329418
M 4.194491863
F 3.673981905
F 2.693784475
M 2.610489368
F 2.834255934
F 2.967900515
F 2.460837603
M 4.128160954
M 3.984301805
F 3.96932888
M 3.228621006
F 4.428913116
M 3.558103323
F 3.776671886
F 5.192687988
F 2.404979944
F 2.813568115
M 4.338894367
M 2.239475965
M 3.50521946
F 4.790383816
