Obesity.BMI GENDER Litter cage
-0.52013166685422 F 2 19F
-0.401116443402858 M 4 13C
-0.526935426394781 M 1 15C
-0.415274210110944 M 4 10B
-0.546143102252165 F 1 3E
-0.394471030532468 M 3 12A
-0.54770232900537 M 1 14C
-0.480725378988488 M 1 18B
-0.51376048439828 M 3 14D
-0.512076423654605 F 1 9F
-0.465510577070553 M 3 19C
-0.478513544152695 M 1 6A
-0.413322321513422 M 3 13A
-0.618288603145986 F 1 15E
-0.512347598844462 F 2 9E
-0.51376048439828 F 2 31G
-0.455656300621807 F 1 12E
-0.444771157336776 F 1 28G
-0.478008475624556 F 2 10E
-0.527426373031058 F 1 8D
-0.488798955708062 F 6 17H
-0.485181536506704 M 4 13C
-0.49651964617172 M 1 3C
-0.424244023036039 M 1 20B
-0.510576734848279 M 2 8A
-0.538573733806856 F 1 6E
-0.505216176701545 M 2 7C
-0.496387475450735 M 2 7C
-0.452096695129257 F 2 13H
-0.508163627335427 M 2 15B
-0.501119573117699 F 3 12G
-0.526275835057995 F 1 15F
-0.434524956740359 M 2 19D
-0.539008245580873 F 3 13G
-0.519673605405126 M 1 6A
-0.516500581628054 F 1 8E
-0.519934364633556 F 1 17F
-0.548660758473412 F 1 19E
-0.444702071082357 F 1 3E
-0.472067776059877 F 1 10F
-0.531570145796273 F 2 18E
-0.482130327559025 M 2 17C
-0.513653918199776 F 2 19G
-0.504166298438653 M 2 10C
-0.421700684023379 F 1 18G
-0.480993147960472 F 1 6D
-0.459164129947547 M 2 9A
-0.557507201905658 F 1 4E
-0.478280920246901 M 1 15C
-0.442823386326038 F 1 11E
-0.417466044248332 M 2 18A
-0.473578198818586 F 1 17F
-0.459478648751856 F 3 14F
-0.425840071485707 M 2 10C
-0.494426112928133 M 3 19C
-0.447754180347157 M 1 4C
-0.520622664976113 M 2 15B
-0.559790828613109 F 1 8E
-0.55026497919738 F 1 4F
-0.514995976601688 F 1 4E
-0.289130772364273 F 1 13F
-0.457944943040542 F 1 7A
-0.520979495248046 F 2 9G
-0.457004029624001 F 3 12G
-0.338088035806025 M 2 19D
